Event ID,Host,Event Owner ID,Title,Location,Who Name,Contact Name,What Name,Related To,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Description,Send Notification Email,Repeat,Currency,Exchange Rate,All day,Check-In Time,Check-In By,Check In By Id,Check-In Comment,Check-In Sub-Locality,Check-In City,Check-In State,Check-In Country,Zip Code,Check-In Address,Checked In Status,From,To
zcrm_2031220000000107305,Amelia Burrows,zcrm_2031220000000101003,Status update,Office HQ,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:16,7/25/16 8:17,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000107317,Amelia Burrows,zcrm_2031220000000101003,Review meeting,Office HQ,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:16,11/20/16 22:59,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,today
zcrm_2031220000000335003,Amelia Burrows,zcrm_2031220000000101003,Francaise 2016,New Delhi,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,10/14/16 4:41,10/24/16 4:41,,FALSE,,USD,1,TRUE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000443306,Amelia Burrows,zcrm_2031220000000101003,Product Demo,San Jose,Jonathan Harris,zcrm_2031220000000443312,Jonathan Bros-,zcrm_2031220000000443314,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/14/16 1:15,11/14/16 1:25,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000483009,Amelia Burrows,zcrm_2031220000000101003,Partner Meetup,New York,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/18/16 2:19,11/20/16 22:58,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000483013,Amelia Burrows,zcrm_2031220000000101003,Product Demo,Houston,Jack Watson,zcrm_2031220000000866323,Deal - Nizel Studios,zcrm_2031220000000866325,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/18/16 2:20,3/28/17 3:02,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,today
zcrm_2031220000000500043,Amelia Burrows,zcrm_2031220000000101003,Webinar,Office HQ,Indra Agarwal,zcrm_2031220000000264090,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/21/16 2:46,2/15/17 22:27,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000514022,Amelia Burrows,zcrm_2031220000000101003,Product Demo,Austin,John Hernandez,zcrm_2031220000000555040,Johnsons & Co.-,zcrm_2031220000000555042,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/23/16 3:23,2/15/17 22:27,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,today
zcrm_2031220000000574059,Quinn Rivers,zcrm_2031220000000114302,Partner Meetup,San Francisco,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/4/16 22:48,12/4/16 22:48,,FALSE,,USD,1,TRUE,,,,,,,,,,,PLANNED,yesterday,today
zcrm_2031220000000574063,Tai Chang,zcrm_2031220000000114318,Partner Meetup,San Francisco,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/4/16 22:48,12/4/16 22:48,,FALSE,,USD,1,TRUE,,,,,,,,,,,PLANNED,yesterday,today
zcrm_2031220000000574079,Amelia Burrows,zcrm_2031220000000101003,Product Demo,London,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/4/16 22:49,12/4/16 22:49,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000574083,Amelia Burrows,zcrm_2031220000000101003,Product demo,Paris,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/4/16 22:49,2/15/17 22:27,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,today
zcrm_2031220000000574087,Quinn Rivers,zcrm_2031220000000114302,Developer Meet,Bangalore,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/4/16 22:50,2/15/17 22:27,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000574091,Alicia Banks,zcrm_2031220000000114326,Negotiation Call,Office HQ,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/4/16 22:50,2/15/17 22:27,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000574169,Amelia Burrows,zcrm_2031220000000101003,Product demo,San Jose,John Hernandez,zcrm_2031220000000574177,Bear Stearns & Company Incorporated-55 widgets,zcrm_2031220000000574179,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/8/16 1:49,2/15/17 22:27,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000668034,Amelia Burrows,zcrm_2031220000000101003,Webinar,Office HQ,John Hernandez,zcrm_2031220000000668046,Bear Stearns & Company Incorporated-10 Widgets,zcrm_2031220000000668048,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,1/2/17 3:03,1/2/17 5:45,,FALSE,,USD,1,FALSE,,,,,,,,,,,PLANNED,yesterday,today
zcrm_2031220000000868085,Amelia Burrows,zcrm_2031220000000101003,New Event,,Leota Dilliard,zcrm_2031220000000866345,Commercial Press,zcrm_2031220000000866343,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 6:53,3/28/17 6:53,,FALSE,,USD,1,TRUE,,,,,,,,,,,PLANNED,yesterday,tomorrow
zcrm_2031220000000868097,Amelia Burrows,zcrm_2031220000000101003,New Event,,Mr. Jack Watson,zcrm_2031220000000866323,Nizel Studios,zcrm_2031220000000866321,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 6:54,3/28/17 6:54,,FALSE,,USD,1,TRUE,,,,,,,,,,,PLANNED,yesterday,today
