Contact ID,Contact Owner,Contact Owner ID,Lead Source,First Name,Last Name,Account Name,Account ID,Vendor Name,Vendor ID,Email,Title,Department,Phone,Home Phone,Other Phone,Fax,Mobile,Date of Birth,Assistant,Asst Phone,Reports To,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Mailing Street,Other Street,Mailing City,Other City,Mailing State,Other State,Mailing Zip,Other Zip,Mailing Country,Other Country,Description,Email Opt Out,Skype ID,Salutation,Secondary Email,Currency,Exchange Rate,Last Activity Time,Twitter,Territories
zcrm_2031220000000103034,Amelia Burrows,zcrm_2031220000000101003,Advertisement,Ruth,Garcias,Green minerals,zcrm_2031220000000103030,,,ruthgarciarg73@yahoo.com,Vice President,,900-555-5261,,,,865-555-5578,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:30,7/25/16 8:30,,,,,,,,,,,,FALSE,,Ms.,,USD,1,9/13/16 2:03,,Australia
zcrm_2031220000000103065,Amelia Burrows,zcrm_2031220000000101003,Webinar,Kate,Robinson,Edge communications,zcrm_2031220000000103061,,,katerobinson35@yahoo.com,Director of Marketing,,900-555-5163,,,,865-555-4356,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:57,7/25/16 8:57,,,,,,,,,,,,FALSE,,,,USD,1,2/15/17 22:46,,Australia
zcrm_2031220000000103083,Amelia Burrows,zcrm_2031220000000101003,Cold Call,Sandra,Evans,Blue Rivers Pvt Ltd,zcrm_2031220000000114049,,,evanssandra99@yahoo.com,COO,,900-555-0123,,,,865-555-5678,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 9:44,7/25/16 9:44,,,,,,,,,,,,FALSE,,Mrs.,,USD,1,2/15/17 22:46,,
zcrm_2031220000000103101,Amelia Burrows,zcrm_2031220000000101003,Seminar Partner,Jeff,Parker,Lawson Associates,zcrm_2031220000000114065,,,jeffparkerjp@yahoo.com,CFO,,900-555-0122,,,,865-555-7768,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 9:48,11/3/16 10:14,,,,,,,,,,,,FALSE,,Mr.,,USD,1,12/15/16 23:15,laurazoho2015,
zcrm_2031220000000103133,Amelia Burrows,zcrm_2031220000000101003,Ebook,James,Carter,Forever Fashion,zcrm_2031220000000103129,,,jamesccarter89@gmail.com,CEO,,900-555-0121,,,,865-555-6543,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 10:45,7/25/16 10:45,,,,,,,,,,,,FALSE,,Mr.,,USD,1,2/15/17 22:46,,Australia
zcrm_2031220000000103148,Amelia Burrows,zcrm_2031220000000101003,OnlineStore,Anne,Smith,Wild Oats Markets,zcrm_2031220000000103144,,,annessmith94@gmail.com,Director of Sales,,900-555-0120,,,,865-555-7769,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 10:53,7/25/16 10:53,,,,,,,,,,,,FALSE,,Mrs.,,USD,1,2/19/17 23:51,,Australia
zcrm_2031220000000103172,Amelia Burrows,zcrm_2031220000000101003,Advertisement,Alex,Cooper,Bonanza Produce Stores,zcrm_2031220000000103168,,,alexxcooper85@gmail.com,VP Sales,,900-555-0119,,,,865-555-4536,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 11:01,7/25/16 11:01,,,,,,,,,,,,FALSE,,Mr.,,USD,1,2/15/17 22:46,,Australia
zcrm_2031220000000103187,Amelia Burrows,zcrm_2031220000000101003,Ebook,Derek,Henderson,Smithson Publications,zcrm_2031220000000103183,,,derekkhenderson65@gmail.com,COO,,900-555-0119,,,,865-555-4432,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 11:11,2/15/17 22:27,,,,,,,,,,,,FALSE,,,,USD,1,2/15/17 22:27,,
zcrm_2031220000000103195,Amelia Burrows,zcrm_2031220000000101003,Facebook,Tyler,Wells,Homes For Sale Pvt Ltd,zcrm_2031220000000114033,,,tylerrwells87@gmail.com,CFO,,900-555-0119,,,,865-555-6679,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 11:22,7/25/16 11:22,,,,,,,,,,,,FALSE,,Mr.,,USD,1,2/15/17 22:46,,Australia
zcrm_2031220000000107327,Amelia Burrows,zcrm_2031220000000101003,Cold Call,Maria,James,Snow White Bakers,zcrm_2031220000000114113,,,mariajamesmj7@gmail.com,Chief Marketing Officer,,800-555-0115,,,,865-555-5543,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:35,7/25/16 8:35,,,,,,,,,,,,FALSE,,Mrs.,,USD,1,3/14/17 3:43,,
zcrm_2031220000000114003,Amelia Burrows,zcrm_2031220000000101003,External Referral,Gary,Davis,Treble Notes Inc,zcrm_2031220000000114001,,,gary.davis@treble-notes.com,CEO,,800-555-0112,,,,865-555-5577,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,Australia
zcrm_2031220000000114019,Amelia Burrows,zcrm_2031220000000101003,Public Relations,John,McCoy,Thomas Publishers,zcrm_2031220000000114017,,,john.mccoy@thomas-publishers.com,Direct of Sales,,800-555-0110,,,,865-555-7890,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,Australia
zcrm_2031220000000114035,Amelia Burrows,zcrm_2031220000000101003,OnlineStore,Michael,Wright,Homes For Sale Pvt Ltd,zcrm_2031220000000114033,,,michael.wright@homes-sale.com,Vice President,,800-555-0109,,,,865-555-1245,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,Australia
zcrm_2031220000000114051,Amelia Burrows,zcrm_2031220000000101003,Website,Robert,Peterkin,Blue Rivers Pvt Ltd,zcrm_2031220000000114049,,,robert@blue-rivers.com,VP Sales,,800-555-0108,,,,865-555-5689,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,
zcrm_2031220000000114067,Amelia Burrows,zcrm_2031220000000101003,Website,Michael,Cochran,Lawson Associates,zcrm_2031220000000114065,,,michael.cochran@lawson-associates.com,President,,800-555-0107,,,,865-555-5555,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,
zcrm_2031220000000114083,Amelia Burrows,zcrm_2031220000000101003,Webinar,Melinda,Anderson,Ventura Capitalists,zcrm_2031220000000114081,,,melinda.anderson@ventura-capitalists.com,CFO,,800-555-0105,,,,865-555-3333,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,Australia
zcrm_2031220000000114099,Amelia Burrows,zcrm_2031220000000101003,Facebook,Robert,Bauer,Tony and Presscott Pvt Ltd,zcrm_2031220000000114097,,,robert.bauer@tandp-ltd.com,Chief Marketing Officer,,800-555-0102,,,,865-555-2887,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:52,,
zcrm_2031220000000114115,Amelia Burrows,zcrm_2031220000000101003,Website,Jim,Malva,Snow White Bakers,zcrm_2031220000000114113,,,jim.malva@snowwhite-bakers.com,COO,,800-555-0101,,,,865-555-4432,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,
zcrm_2031220000000114131,Amelia Burrows,zcrm_2031220000000101003,Ebook,Ed,Wendt,Smithson Publications,zcrm_2031220000000114129,,,ed.wendt@smithson-publications.com,CFO,,900-555-0119,,,,865-555-7789,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,7/25/16 6:40,,,,,,,,,,,,FALSE,,,,USD,1,7/25/16 6:40,,
zcrm_2031220000000114147,Tai Chang,zcrm_2031220000000114318,Twitter,Joe,Hackett,H I D Corporation,zcrm_2031220000000114145,,,joe.hackett1@hid-corp.com,Vice President,,900-555-0120,,,,865-555-4599,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,11/3/16 22:40,,,,,,,,,,,,FALSE,,,,USD,1,11/3/16 22:40,,
zcrm_2031220000000120003,Tai Chang,zcrm_2031220000000114318,Ebook,Racheal,Williams,Floral Fashions,zcrm_2031220000000120001,,,rachealwilliam3@gmail.com,Managing Director,,888-555-5656,,,,865-555-3335,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 23:49,11/3/16 22:40,,,,,,,,,,,,FALSE,,,,USD,1,11/3/16 22:40,,
zcrm_2031220000000121002,Amelia Burrows,zcrm_2031220000000101003,External Referral,James,Watsonhale,Ventura Capitalists,zcrm_2031220000000114081,,,james.watsonhale@gmail.com,Chief Marketing Officer,Customer Support,800-555-0587,,,,865-555-7522,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/26/16 1:02,9/25/16 23:59,,,,,,,,,,,,FALSE,,,,USD,1,3/29/17 8:44,j_watsonhale,Australia
zcrm_2031220000000221059,Amelia Burrows,zcrm_2031220000000101003,Webinar,Sarah,Turner,Frost essentials,zcrm_2031220000000221053,,,sarahturnert@gmail.com,Managing Director,,800-555-5296,,,,865-555-3344,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/7/16 0:21,10/24/16 3:59,,,,,,,,,,,,FALSE,,Ms.,,USD,1,3/15/17 7:55,,
zcrm_2031220000000232007,Amelia Burrows,zcrm_2031220000000101003,Website,,John Dykes,Smithson Publications,zcrm_2031220000000103183,,,dykesjohn27@gmail.com,President,,888-555-4444,,,,865-555-7763,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/12/16 0:34,2/15/17 22:27,,,,,,,,,,,,FALSE,,Mr.,,USD,1,2/15/17 22:46,,
zcrm_2031220000000264090,Amelia Burrows,zcrm_2031220000000101003,Twitter,Indra,Agarwal,Frost essentials,,,,,COO,,888-555-5578,,,,865-555-9871,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/26/16 0:01,9/26/16 0:01,,,,,,,,,,,,FALSE,,,,USD,1,11/21/16 2:46,indra_agarwal24,
zcrm_2031220000000275001,Amelia Burrows,zcrm_2031220000000101003,Webinar,,David Miller,Smithson Publications,zcrm_2031220000000103183,,,davemillah@gmail.com,VP Sales,,888-555-4367,,,,865-555-3456,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/27/16 1:21,2/15/17 22:27,,,,,,,,,,,,FALSE,,,,USD,1,2/15/17 22:27,,
zcrm_2031220000000303003,Amelia Burrows,zcrm_2031220000000101003,Website,Scott,Gillis,Minerva Publications,zcrm_2031220000000303001,,,scott.gillis@minerva-publications.com,Managing Director,,888-555-8863,,,,865-555-8733,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,10/4/16 4:13,11/20/16 23:23,,,,,,,,,,,,FALSE,,,,USD,1,12/1/16 22:56,,
zcrm_2031220000000347012,Quinn Rivers,zcrm_2031220000000114302,Website,Heidi,Salman,Thompson,zcrm_2031220000000347010,,,,Chief Marketing Officer,,900-555-5261,,,,865-555-4467,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,10/16/16 3:39,11/20/16 23:06,,,,,,,,,,,,FALSE,,,,USD,1,11/20/16 23:06,,
zcrm_2031220000000371019,Amelia Burrows,zcrm_2031220000000101003,Webinar,Bob,Yonker,Tony and Presscott Pvt Ltd,zcrm_2031220000000371016,,,yonker.r@yahoo.com,Managing Director,,900-555-5163,,,,865-555-8765,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,10/25/16 11:14,11/25/16 1:35,,,,,,,,,,,,FALSE,,,,USD,1,2/15/17 22:46,,
zcrm_2031220000000395009,Amelia Burrows,zcrm_2031220000000101003,Twitter,Valerie,Thomas,Acme Inc,zcrm_2031220000000395003,,,vaagdevir@gmail.com,President,,900-555-0123,,,,865-555-1237,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/3/16 16:05,11/20/16 23:23,,,,,,,,,,,,FALSE,,,,USD,1,12/15/16 23:16,,
zcrm_2031220000000421003,Amelia Burrows,zcrm_2031220000000101003,Advertisement,Jerry,Foreman,Wave Interiors,zcrm_2031220000000421001,,,jerry_foreman@wave-interiors.com,CEO,,900-555-0122,,,,865-555-9876,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/8/16 1:28,11/20/16 23:22,,,,,,,,,,,,FALSE,,,,USD,1,11/20/16 23:22,,
zcrm_2031220000000421025,Amelia Burrows,zcrm_2031220000000101003,Webinar,Maria,Larios,Tony and Presscott Pvt Ltd,zcrm_2031220000000421023,,,maria@zero-cm.com,Network Director,,900-555-0121,,,,865-555-2230,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/8/16 1:33,12/25/16 22:32,,,,,,,,,,,,FALSE,,,,USD,1,12/25/16 22:32,,
zcrm_2031220000000443312,Amelia Burrows,zcrm_2031220000000101003,Cold Call,Jonathan,Harris,Jonathan Bros,zcrm_2031220000000443310,,,jonathanharis757@gmail.com,VP Sales,,900-555-0120,,,,865-555-2231,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/14/16 1:25,3/15/17 8:04,,,,,,,,,,,,FALSE,,,,USD,1,3/15/17 8:04,thepongreport,
