Deal ID,Deal Owner,Deal Owner ID,Amount,Deal Name,Closing Date,Account Name,Account ID,Stage,Type,Probability (%),Next Step,Lead Source,Campaign Source,Campaign Source ID,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Description,Contact Name,Contact ID,Expected Revenue,Currency,Exchange Rate,Last Activity Time,Lead Conversion Time,Sales Cycle Duration,Overall Sales Duration,Layout,Layout Id,Territory,Product Type
zcrm_2031220000000103042,Tai Chang,zcrm_2031220000000114318,45000,600 widgets,today,Green minerals,zcrm_2031220000000103030,Negotiation/Review,Existing Business,90,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:32,3/28/17 7:03,,Ruth Garcias,zcrm_2031220000000103034,60000,USD,1,3/28/17 7:03,,37,37,Standard,zcrm_2031220000000091023,Australia,
zcrm_2031220000000103073,Alicia Banks,zcrm_2031220000000114326,53000,1200 Widgets,tomorrow,Edge communications,zcrm_2031220000000103061,Negotiation/Review,Existing Business,90,,Chat,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:58,3/28/17 7:03,,,,70000,USD,1,3/28/17 7:03,,123,123,Standard,zcrm_2031220000000091023,Australia,
zcrm_2031220000000103091,Tai Chang,zcrm_2031220000000114318,52000,600 widgets,nextweek,Blue Rivers Pvt Ltd,zcrm_2031220000000114049,Negotiation/Review,Existing Business,90,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 9:45,3/28/17 7:03,,,,100000,USD,1,3/28/17 7:03,,153,153,Standard,zcrm_2031220000000091023,EMEA,
zcrm_2031220000000103109,Amelia Burrows,zcrm_2031220000000101003,80000,40 Widgets,tomorrow,Lawson Associates,zcrm_2031220000000114065,Negotiation/Review,Existing Business,90,,Chat,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 9:48,3/28/17 7:03,,Jeff Parker,zcrm_2031220000000103101,80000,USD,1,3/28/17 7:03,,97,97,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000103156,Amelia Burrows,zcrm_2031220000000101003,56000,1500 Widgets,next7days,Wild Oats Markets,zcrm_2031220000000103144,Proposal/Price Quote,Existing Business,50,,Sales Mail Alias,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 10:53,12/14/16 22:21,,Anne Smith,zcrm_2031220000000103148,100000,USD,1,2/15/17 22:46,,159,159,Standard,zcrm_2031220000000091023,America,
zcrm_2031220000000103203,Alicia Banks,zcrm_2031220000000114326,40000,400 Widgets,thisweek,Homes For Sale Pvt Ltd,zcrm_2031220000000114033,Negotiation/Review,Existing Business,90,,Chat,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 11:23,12/14/16 22:21,,,,40000,USD,1,12/14/16 22:21,,36,36,Standard,zcrm_2031220000000091023,East,
zcrm_2031220000000107357,Tai Chang,zcrm_2031220000000114318,50000,120 widgets,nextweek,Snow White Bakers,zcrm_2031220000000114113,Qualification,Existing Business,40,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 8:38,12/14/16 22:21,,,,50000,USD,1,12/14/16 22:21,,67,67,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000113233,Tai Chang,zcrm_2031220000000114318,4000,40 widgets,nextweek,H I D Corporation,zcrm_2031220000000114145,Negotiation/Review,Existing Business,90,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,3/15/17 1:36,,,,3600,USD,1,3/15/17 1:36,,3,3,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000113234,Amelia Burrows,zcrm_2031220000000101003,5000,55 widgets,next30days,Treble Notes Inc,zcrm_2031220000000114001,Value Proposition,Existing Business,30,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,12/14/16 22:21,,,,2000,USD,1,12/14/16 22:21,,0,0,Standard,zcrm_2031220000000091023,EMEA,
zcrm_2031220000000113235,Tai Chang,zcrm_2031220000000114318,10000,10 widgets,nextweek,Thomas Publishers,zcrm_2031220000000114017,Proposal/Price Quote,Existing Business,50,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,12/14/16 22:21,,,,10000,USD,1,12/14/16 22:21,,0,0,Standard,zcrm_2031220000000091023,Australia,
zcrm_2031220000000113236,Tai Chang,zcrm_2031220000000114318,1000,10 widgets,next7days,Homes For Sale Pvt Ltd,zcrm_2031220000000114033,Value Proposition,Existing Business,30,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,12/14/16 22:21,,,,1000,USD,1,12/14/16 22:21,,0,0,Standard,zcrm_2031220000000091023,China,
zcrm_2031220000000113237,Tai Chang,zcrm_2031220000000114318,100,1 widget,next7days,Blue Rivers Pvt Ltd,zcrm_2031220000000114049,Negotiation/Review,Existing Business,90,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,3/15/17 1:36,,,,90,USD,1,3/15/17 1:36,,0,0,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000113238,Amelia Burrows,zcrm_2031220000000101003,2000,20 widgets,next30days,Lawson Associates,zcrm_2031220000000114065,Proposal/Price Quote,Existing Business,50,,Trade Show,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,3/15/17 1:38,,,,1500,USD,1,3/15/17 1:38,,4,4,Standard,zcrm_2031220000000091023,EMEA,
zcrm_2031220000000113239,Amelia Burrows,zcrm_2031220000000101003,8000,80 widgets,next30days,Ventura Capitalists,zcrm_2031220000000114081,Negotiation/Review,Existing Business,90,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,12/14/16 22:21,,,,3200,USD,1,12/14/16 22:21,,3,3,Standard,zcrm_2031220000000091023,Central,
zcrm_2031220000000113240,Tai Chang,zcrm_2031220000000114318,6000,60 widgets,next7days,Tony and Presscott Pvt Ltd,zcrm_2031220000000114097,Proposal/Price Quote,Existing Business,50,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,12/14/16 22:21,,,,4800,USD,1,12/14/16 22:21,,1,1,Standard,zcrm_2031220000000091023,APAC,
zcrm_2031220000000113241,Tai Chang,zcrm_2031220000000114318,20000,1000 widgets,next30days,Snow White Bakers,zcrm_2031220000000114113,Qualification,Existing Business,40,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,12/14/16 22:21,,,,100000,USD,1,12/14/16 22:21,,2,2,Standard,zcrm_2031220000000091023,America,
zcrm_2031220000000113242,Amelia Burrows,zcrm_2031220000000101003,2500,25 widgets,next7days,Smithson Publications,zcrm_2031220000000114129,Qualification,Existing Business,40,,Trade Show,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 6:40,12/14/16 22:21,,,,2500,USD,1,12/14/16 22:21,,0,0,Standard,zcrm_2031220000000091023,Central,
zcrm_2031220000000120005,Tai Chang,zcrm_2031220000000114318,15000,Small Deal,next30days,Floral Fashions,zcrm_2031220000000120001,Proposal/Price Quote,Existing Business,50,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/25/16 23:49,3/15/17 1:37,,Racheal Williams,zcrm_2031220000000120003,75,USD,1,3/15/17 1:37,0,5,5,Standard,zcrm_2031220000000091023,America,
zcrm_2031220000000138003,Amelia Burrows,zcrm_2031220000000101003,25000,Fairly Large Deal,nextweek,Tony and Presscott Pvt Ltd,zcrm_2031220000000103183,Qualification,New Business,40,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,7/29/16 1:33,3/14/17 3:45,,Derek Henderson,zcrm_2031220000000103187,10000,USD,1,3/14/17 3:45,,2,2,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000221062,Amelia Burrows,zcrm_2031220000000101003,35000,45 Widgets,tomorrow,Frost essentials,zcrm_2031220000000221053,Proposal/Price Quote,Existing Business,50,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/7/16 0:21,3/15/17 1:37,,Sarah Turner,zcrm_2031220000000221059,75000,USD,1,3/15/17 1:37,43,267,310,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000232019,Amelia Burrows,zcrm_2031220000000101003,6000,10 widgets,next30days,Tony and Presscott Pvt Ltd,zcrm_2031220000000103183,Negotiation/Review,New Business,90,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/12/16 0:40,3/28/17 7:03,,,,6000,USD,1,3/28/17 7:03,,11,11,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000264080,Amelia Burrows,zcrm_2031220000000101003,5000,50 widgets,next7days,Ventura Capitalists,zcrm_2031220000000114081,Negotiation/Review,Existing Business,90,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/26/16 0:00,3/15/17 8:12,,James Watsonhale,zcrm_2031220000000121002,4500,USD,1,3/15/17 8:12,,217,217,Standard,zcrm_2031220000000091023,East,
zcrm_2031220000000264100,Amelia Burrows,zcrm_2031220000000101003,50000,1000 Widgets,today,Smith Inc,zcrm_2031220000000264096,Closed Won,Existing Business,100,,Sales Mail Alias,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/26/16 0:02,12/14/16 22:21,,Indra Agarwal,zcrm_2031220000000264090,100000,USD,1,12/14/16 22:21,,1,1,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000275013,Alicia Banks,zcrm_2031220000000114326,25000,Z Books,yesterday,Tony and Presscott Pvt Ltd,zcrm_2031220000000103183,Closed Won,Existing Business,100,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,9/27/16 1:21,3/28/17 7:03,,,,25000,USD,1,3/28/17 7:03,,4,4,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000303005,Amelia Burrows,zcrm_2031220000000101003,45000,Minerva Publications-,today,Minerva Publications,zcrm_2031220000000303001,Closed Won,Existing Business,100,,Sales Mail Alias,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,10/4/16 4:13,12/14/16 22:21,,Scott Gillis,zcrm_2031220000000303003,100000,USD,1,2/15/17 22:46,70,9,79,Standard,zcrm_2031220000000091023,Middle East,
zcrm_2031220000000326011,Amelia Burrows,zcrm_2031220000000101003,5000,New Website,yesterday,Tony and Presscott Pvt Ltd,zcrm_2031220000000103183,Closed Won,New Business,100,2nd Follow up,Sales Mail Alias,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,10/12/16 12:14,3/28/17 7:03,,,,5000,USD,1,3/28/17 7:03,,19,19,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000347014,Amelia Burrows,zcrm_2031220000000101003,43000,Thompson-,last7days,Thompson,zcrm_2031220000000347010,Closed Won,New Business,100,,Chat,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,10/16/16 3:39,12/14/16 22:21,,Heidi Salman,zcrm_2031220000000347012,50000,USD,1,12/14/16 22:21,0,7,7,Standard,zcrm_2031220000000091023,APAC,
zcrm_2031220000000395012,Amelia Burrows,zcrm_2031220000000101003,500,New website,last7days,Acme Inc,zcrm_2031220000000395003,Closed Won,New Business,100,,Twitter,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/3/16 16:05,3/28/17 7:03,,Valerie Thomas,zcrm_2031220000000395009,500,USD,1,3/28/17 7:03,1,27,28,Standard,zcrm_2031220000000091023,Europe,
zcrm_2031220000000421005,Amelia Burrows,zcrm_2031220000000101003,70000,Wave Interiors-,last30days,Wave Interiors,zcrm_2031220000000421001,Closed Won,New Business,100,,Advertisement,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/8/16 1:28,3/28/17 7:03,,Jerry Foreman,zcrm_2031220000000421003,70000,USD,1,3/28/17 7:03,105,10,115,Standard,zcrm_2031220000000091023,America,
zcrm_2031220000000421027,Amelia Burrows,zcrm_2031220000000101003,3500,Zero cm Inc-,last30days,Zero cm Inc,zcrm_2031220000000421023,Closed Won,New Business,100,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/8/16 1:33,3/28/17 7:03,,Maria Larios,zcrm_2031220000000421025,3500,USD,1,3/28/17 7:03,105,2,107,Standard,zcrm_2031220000000091023,EMEA,
