Lead Id,Lead Owner,Lead Owner Id,Company,First Name,Last Name,Title,Email,Phone,Mobile,Website,Lead Source,Lead Status,Industry,No of Employees,Created By,Created By Id,Modified By,Modified By Id,Created Time,Modified Time,Skype ID,Email Opt Out,Salutation,Secondary Email,Currency,Exchange Rate,Last Activity Time,Twitter,Sub-Industry,Middle Name,Street,City,State,Zip Code,Country,Description
zcrm_265928000000152015,Amelia Burrows,zcrm_265928000000034003,W M C Mortgage Corporation,Doug,Kajiwara,Network Manager,d.kajiwara@samplecompany.com,888-555-5578,865-555-5578,,Partner,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,Mr.,,USD,1,3/19/13 17:53,,,,6320 Canoga Ave,Woodland Hills,CA,91367-2526,,
zcrm_265928000000152051,Amelia Burrows,zcrm_265928000000034003,Texas Department of Health,Reed,Wisener,Administrator,reed@samplecompany.com,888-555-4356,865-555-4356,,Cold Call,Junk Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,PO Box 4180,Buena Park,,92803-3774,United States,
zcrm_265928000000152053,Amelia Burrows,zcrm_265928000000034003,Employees Retirement System of Texas,Terry,Wood,"Director, HR",terry.wood@samplecompany.com,888-555-5678,865-555-5678,,Online Store,Contacted,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,701 N Santa Anita Ave,Buena Park,,92803-3775,United States,
zcrm_265928000000152055,Amelia Burrows,zcrm_265928000000034003,Trenton ISD,Ed,"Yeager, Ed.D.",CEO,ed.yeager@samplecompany.com,888-555-7768,865-555-7768,,Online Store,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,1300 W Optical Dr,Buena Park,,92803-3776,United States,
zcrm_265928000000152057,Amelia Burrows,zcrm_265928000000034003,Bridgford Foods Corporation,Allan,Bridgford,Chairman of the Board/CEO,allan@samplecompany.com,888-555-6543,865-555-6543,,Employee Referral,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,PO Box 3773,Anaheim,,92803-3773,United States,
zcrm_265928000000152059,Amelia Burrows,zcrm_265928000000034003,Bridgford Foods Corporation,Bob,DeLong,CIO,bob.delong@samplecompany.com,888-555-7769,865-555-7769,,Online Store,Lost Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,PO Box 3773,Anaheim,,92803-3773,United States,
zcrm_265928000000152061,Amelia Burrows,zcrm_265928000000034003,Digital Graphics Advantage,Jean,Stringer,PC Manager,jean.stringer@sbc.com,888-555-4536,865-555-4536,,Partner,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,5460 E La Palma Ave,Anaheim,,92807-2023,United States,
zcrm_265928000000152063,Amelia Burrows,zcrm_265928000000034003,Walt Disney Travel Company,Tim,Barry,Systems Administrator,tim.barry@samplecompany.com,888-555-4432,865-555-4432,,Partner,Junk Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,PO Box 4180,Anaheim,,92803-4180,Unite Kingdom,
zcrm_265928000000152065,Amelia Burrows,zcrm_265928000000034003,Angeles National Forest,Mark,Vessup,Info Tech Mgr/CIO,mvessup@samplecompany.com,888-555-6679,865-555-6679,,Cold Call,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,701 N Santa Anita Ave,Arcadia,,91006-2725,United States,
zcrm_265928000000152067,Amelia Burrows,zcrm_265928000000034003,PerkinElmer Inc,Greg,Summe,CEO,greg@samplecompany.com,888-555-5543,865-555-5543,,Online Store,Lost Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,1300 W Optical Dr,Azusa,,91702-3251,United States,
